"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros"
"*031c4*","Trey Mancini","(N/A)","1B,OF","552","LANG","31","","15.00","2024","184","2.09","2%","853","9%"
"*031c2*","Kendall Graveman","HOU","RP","553","KYLE","33","NYY Thu 1:00AM","19.00","2025","183.5","2.96","6%","887","15%"
"*01skh*","Will Smith","KC","RP","554","FA","34","MIN Thu 1:10PM","11.00","2023","183.5","3.11","33%","437.94","39%"
"*04eh9*","Nelson Velazquez","KC","OF","555","FA","25","MIN Thu 1:10PM","11.00","2023","183.5","2.45","98%","249.6","79%"
"*04pse*","Brendan Donovan","STL","2B,OF","556","NASER","26","@LAD Thu 1:10PM","38.00","2027","183","2.58","98%","300.85","86%"
"*05yav*","David Festa","MIN","SP","557","FA","23","@KC Thu 1:10PM","11.00","2023","183","12.2","39%","502.21","45%"
"*02c63*","Brian Anderson","(N/A)","3B,OF","558","FA","30","","11.00","2023","182.5","2.1","5%","933.01","10%"
"*02btq*","Scott McGough","ARI","RP","559","FA","34","COL Thu 1:00AM","11.00","2023","182.5","2.72","10%","816.1","12%"
"*02hxd*","Danny Coulombe","BAL","RP","560","FA","34","LAA Thu 12:05PM","11.00","2023","181.5","3.78","6%","848.38","13%"
"*04y11*","Luis Matos","SF","OF","561","LANG","21","@SD Thu 1:10PM","19.00","2027","181","2.83","62%","415.71","66%"
"*03zu0*","Yonny Chirinos","(N/A)","SP","562","FA","30","","11.00","2023","180.5","9.03","0%","-","6%"
"*02mwg*","Jesse Winker","(N/A)","OF,UT","563","FA","30","","11.00","2023","180","2.34","1%","1765.2","10%"
"*03drc*","Aaron Bummer","ATL","RP","564","FA","30","@PHI Thu 12:05PM","11.00","2023","179.5","2.9","12%","800.05","19%"
"*0310c*","Hunter Harvey","WSH","RP","565","FA","29","@CIN Thu 1:10PM","11.00","2023","179.5","3.04","59%","382.28","57%"
"*021n3*","Eduardo Escobar","(N/A)","2B,3B","566","ALEC","34","","20.00","2025","179","2.27","8%","853.94","10%"
"*02mz1*","Colin Poche","TB","RP","567","FA","29","TOR Thu 1:10PM","11.00","2023","178.5","3.13","19%","657.84","31%"
"*04naz*","Tyler Holton","DET","RP","568","FA","27","@CHW Thu 1:10PM","11.00","2023","177","2.19","11%","791.64","16%"
"*02mw7*","Lucas Sims","CIN","RP","569","FA","29","WSH Thu 1:10PM","11.00","2023","177","3.05","20%","631.98","26%"
"*025jv*","Yuli Gurriel","(N/A)","1B","570","FA","39","","11.00","2023","175","2.22","0%","-","5%"
"*0313t*","Tyler Kinley","COL","RP","571","FA","32","@ARI Thu 1:00AM","11.00","2023","175","3.3","18%","708.07","14%"
"*051e5*","Matt Waldron","SD","SP","572","FA","27","SF Thu 1:10PM","11.00","2023","175","10.94","18%","642.78","15%"
"*02n4s*","Matthew Boyd","(N/A)","SP","573","JENKS","32","","23.00","2026","174","10.88","0%","-","9%"
"*04emt*","Jake Meyers","HOU","OF","574","FA","27","NYY Thu 1:00AM","11.00","2023","174","2.02","4%","774.88","13%"
"*01t9q*","Gary Sanchez","(N/A)","C","575","ROLLS","31","","17.00","2024","174","2.38","53%","417.09","37%"
"*03qne*","Chris Paddack","MIN","SP","576","FA","27","@KC Thu 1:10PM","11.00","2023","173","7.21","99%","311.26","79%"
"*01suo*","Jean Segura","(N/A)","2B,3B","577","JOHN","33","","26.00","2026","173","2.28","0%","-","8%"
"*03to4*","Pedro Avila","SD","RP","578","FA","26","SF Thu 1:10PM","11.00","2023","172.5","3.38","5%","768.03","10%"
"*0314j*","Ryan Yarbrough","LAD","SP","579","JOEY","31","STL Thu 1:10PM","37.00","2025","172.5","9.08","28%","540.84","26%"
"*026k6*","Chase Anderson","(N/A)","SP","580","FA","36","","11.00","2023","171.5","5.53","0%","-","3%"
"*03dgh*","Stone Garrett","WSH","OF","581","FA","28","@CIN Thu 1:10PM","11.00","2023","171.5","2.23","23%","579.62","24%"
"*0429k*","Colin Holderman","PIT","RP","582","FA","28","@MIA Thu 1:10PM","11.00","2023","171.5","2.96","11%","837.26","19%"
"*02bq6*","Joe Ross","MIL","SP","583","FA","30","@NYM Thu 10:10AM","11.00","2023","171.5","10.72","1%","1523.53","7%"
"*03qmh*","Jake Cronenworth","SD","1B,2B","584","FA","29","SF Thu 1:10PM","11.00","2023","170.5","2.62","89%","386.84","72%"
"*04psv*","Steven Wilson","SD","RP","585","FA","29","SF Thu 1:10PM","11.00","2023","170.5","3.1","3%","939.29","14%"
"*0596f*","Heston Kjerstad","BAL","OF","586","FA","24","LAA Thu 12:05PM","11.00","2023","170","2.39","97%","345.04","90%"
"*02br5*","Daniel Vogelbach","(N/A)","UT","587","FA","31","","11.00","2023","169","2.11","0%","-","6%"
"*02y8t*","Aledmys Diaz","OAK","3B,SS","588","FA","33","CLE Thu 7:07PM","11.00","2023","168","1.87","10%","778.11","12%"
"*01sgi*","Adam Ottavino","(N/A)","RP","589","FA","38","","11.00","2023","168","2.3","14%","770.82","17%"
"*02n3l*","Taylor Rogers","SF","RP","590","FA","33","@SD Thu 1:10PM","11.00","2023","168","2.85","12%","824.58","19%"
"*0429i*","Kenny Rosenberg","LAA","RP","591","FA","28","@BAL Thu 12:05PM","11.00","2023","167","3.55","1%","1676.4","6%"
"*01cil*","Michael Brantley","(N/A)","OF,UT","592","JOEY","36","","35.00","2025","166","2.72","14%","720.57","20%"
"*01sc7*","Max Stassi","CHW","C","593","FA","32","DET Thu 1:10PM","11.00","2023","166","1.8","5%","872.07","10%"
"*04ywk*","Tylor Megill","NYM","SP","594","FA","28","MIL Thu 10:10AM","11.00","2023","165.5","11.82","85%","426.2","59%"
"*03dpg*","Kevin Ginkel","ARI","RP","595","FA","29","COL Thu 1:00AM","11.00","2023","165","2.17","32%","436.66","36%"
"*03pp9*","Josh Sborz","TEX","RP","596","FA","30","CHC Thu 4:35PM","11.00","2023","164.5","2.84","15%","766.8","16%"
"*03r06*","Ryan Feltner","COL","SP","597","FA","27","@ARI Thu 1:00AM","11.00","2023","164","9.11","0%","-","8%"
"*041sg*","Nicky Lopez","CHW","2B,3B,SS","598","FA","28","DET Thu 1:10PM","11.00","2023","164","1.84","15%","713.96","19%"
"*026m0*","Kolten Wong","(N/A)","2B","599","LANG","33","","18.00","2025","164","2.28","6%","902.68","9%"
"*04n0k*","Carlos Hernandez","KC","RP","600","FA","26","MIN Thu 1:10PM","11.00","2023","163","5.43","24%","566.62","20%"
"*03yx9*","Elieser Hernandez","(N/A)","RP","601","FA","28","","11.00","2023","163","13.58","0%","-","6%"
"*021t6*","Martin Maldonado","CHW","C","602","FA","37","DET Thu 1:10PM","11.00","2023","163","1.55","6%","824.15","7%"
"*031dd*","Tim Mayza","TOR","RP","603","FA","31","@TB Thu 1:10PM","11.00","2023","163","2.72","3%","939.43","14%"
"*041z3*","John Schreiber","BOS","RP","604","FA","29","@SEA Thu 7:10PM","11.00","2023","161.5","3.59","5%","853.85","10%"
"*026l1*","Lance McCullers Jr.","HOU","SP","605","FA","30","NYY Thu 1:00AM","11.00","2023","161","13.42","46%","446.32","48%"
"*02n0v*","Hoby Milner","MIL","RP","606","FA","32","@NYM Thu 10:10AM","11.00","2023","161","2.33","6%","824.29","12%"
"*031cy*","Emilio Pagan","CIN","RP","607","FA","32","WSH Thu 1:10PM","11.00","2023","160.5","2.33","4%","845.55","10%"
"*01s99*","Travis d'Arnaud","ATL","C","610","FA","34","@PHI Thu 12:05PM","11.00","2023","159.5","2.35","76%","396.64","52%"
"*04ppl*","Owen Miller","MIL","1B,2B,3B","608","FA","27","@NYM Thu 10:10AM","11.00","2023","159.5","1.85","14%","783.72","18%"
"*0514f*","Hayden Wesneski","CHC","SP","609","JOEY","26","@TEX Thu 4:35PM","11.00","2026","159.5","12.27","39%","489.35","37%"
"*03adt*","James Kaprielian","(N/A)","SP","611","FA","29","","11.00","2023","159","11.36","0%","-","7%"
"*02mzf*","Rob Refsnyder","BOS","OF","612","FA","32","@SEA Thu 7:10PM","11.00","2023","158.5","2.03","0%","-","5%"
"*04em6*","Will Vest","DET","RP","613","FA","28","@CHW Thu 1:10PM","11.00","2023","158","3.04","13%","796.52","13%"
"*05u2u*","Tyler Black","MIL","2B","614","FA","23","@NYM Thu 10:10AM","11.00","2023","157.5","2.67","64%","434.04","75%"
"*0351m*","Miguel Castro","ARI","RP","615","FA","29","COL Thu 1:00AM","11.00","2023","157.5","2.54","5%","970.65","9%"
"*03mm4*","Andy Ibanez","DET","2B,3B,OF","616","FA","30","@CHW Thu 1:10PM","11.00","2023","157.5","2.22","19%","631.46","17%"
"*04ppo*","Kyle Isbel","KC","OF","617","FA","26","MIN Thu 1:10PM","11.00","2023","156.5","2.11","17%","709.99","19%"
"*04q05*","Alex Vesia","LAD","RP","618","FA","27","STL Thu 1:10PM","11.00","2023","156.5","2.85","2%","1015.5","11%"
"*02f9m*","Jakob Junis","(N/A)","RP","619","FA","31","","11.00","2023","155.5","4.2","3%","938.5","8%"
"*03h90*","Hector Neris","(N/A)","RP","620","FA","34","","11.00","2023","155.5","2.32","19%","614.01","36%"
"*04pqs*","Jake Bird","COL","RP","621","FA","28","@ARI Thu 1:00AM","11.00","2023","155","1.99","0%","-","5%"
"*02i3d*","Manuel Margot","LAD","OF","622","FA","29","STL Thu 1:10PM","11.00","2023","154.5","2.41","23%","613.14","24%"
"*051fl*","Cade Marlowe","SEA","OF","623","FA","26","BOS Thu 7:10PM","11.00","2023","154.5","2.45","11%","804.38","20%"
"*05uk1*","Elvis Peguero","MIL","RP","624","FA","26","@NYM Thu 10:10AM","11.00","2023","154","2.44","2%","889.54","9%"
"*025ew*","Noah Syndergaard","(N/A)","SP","625","TED","31","","28.00","2026","153.5","10.23","3%","925.94","12%"
"*066n3*","Ryan Walker","SF","RP","626","FA","28","@SD Thu 1:10PM","11.00","2023","153.5","2.44","9%","821.63","11%"
"*051eh*","Kevin Kelly","TB","SP","627","FA","26","TOR Thu 1:10PM","11.00","2023","153","2.47","1%","1634.92","9%"
"*04b08*","Nick Pratto","KC","1B,OF","628","HENRY","25","MIN Thu 1:10PM","14.00","2026","153","1.91","23%","570.54","29%"
"*02hfr*","Caleb Thielbar","MIN","RP","629","FA","36","@KC Thu 1:10PM","11.00","2023","153","3.48","3%","905.11","10%"
"*05jp2*","Jared Shuster","CHW","SP","630","FA","25","DET Thu 1:10PM","11.00","2023","152.5","9.53","29%","519.86","32%"
"*01cih*","Julio Teheran","MIL","SP","631","FA","32","@NYM Thu 10:10AM","11.00","2023","152.5","10.89","4%","928.49","8%"
"*041w8*","Ian Hamilton","NYY","RP","632","FA","28","@HOU Thu 1:00AM","11.00","2023","152","2.53","14%","740.88","15%"
"*01c2r*","Mike Moustakas","(N/A)","1B,3B","633","FA","35","","11.00","2023","152","1.97","12%","784","10%"
"*05t6u*","Beau Brieske","DET","SP","634","FA","25","@CHW Thu 1:10PM","11.00","2023","151","1.96","0%","-","7%"
"*05ym7*","Fernando Cruz","CIN","RP","635","FA","33","WSH Thu 1:10PM","11.00","2023","151","2.36","5%","883.71","5%"
"*03pj8*","DJ Stewart","NYM","OF","636","FA","30","MIL Thu 10:10AM","11.00","2023","151","2.16","26%","537.67","19%"
"*050c3*","Jasson Dominguez","NYY","OF","637","MURPH","20","@HOU Thu 1:00AM","22.00","2025","150.5","2.89","89%","376","89%"
"*04coa*","Trevor Richards","TOR","RP","638","FA","30","@TB Thu 1:10PM","11.00","2023","150.5","3.01","8%","857.86","12%"
"*03109*","Phil Bickford","NYM","RP","639","FA","28","MIL Thu 10:10AM","11.00","2023","150","2.08","0%","-","4%"
"*02j2v*","Travis Jankowski","(N/A)","OF","640","FA","32","","11.00","2023","150","2","6%","867.16","6%"
"*03amq*","German Marquez","COL","SP","641","MURPH","28","@ARI Thu 1:00AM","18.00","2024","150","12.5","2%","729.31","21%"
"*04ru7*","Miguel Vargas","LAD","2B,3B","642","CA$H","24","STL Thu 1:10PM","14.00","2026","150","2.34","78%","385.72","77%"
"*03dap*","Brock Burke","TEX","RP","643","FA","27","CHC Thu 4:35PM","11.00","2023","149","2.26","0%","-","8%"
"*05y18*","Collin Snider","ARI","RP","644","FA","28","COL Thu 1:00AM","11.00","2023","149","2.87","0%","-","3%"
"*026rz*","Gio Urshela","(N/A)","1B,3B,SS","645","ROLLS","32","","24.00","2024","149","2.26","19%","624.87","22%"
"*03y4y*","Enyel De Los Santos","SD","RP","646","FA","28","SF Thu 1:10PM","11.00","2023","148.5","2.36","5%","837.84","14%"
"*05wbp*","Nick Nastrini","CHW","SP","647","FA","23","DET Thu 1:10PM","11.00","2023","148.5","10.61","25%","569.29","35%"
"*02bqd*","Andrew Chafin","DET","RP","648","FA","33","@CHW Thu 1:10PM","11.00","2023","147.5","2.46","2%","921.52","12%"
"*01h4f*","Jake Odorizzi","(N/A)","SP","649","FA","33","","11.00","2023","147.5","10.54","0%","-","5%"
"*0404s*","Gregory Santos","CHW","RP","650","FA","24","DET Thu 1:10PM","11.00","2023","146.5","2.4","20%","536.45","29%"
"*04py3*","J.P. France","HOU","SP","651","FA","28","NYY Thu 1:00AM","11.00","2023","145.5","3.38","93%","354.74","76%"
"*04053*","Matt Thaiss","LAA","C","652","FA","28","@BAL Thu 12:05PM","11.00","2023","144.5","1.95","18%","650.58","16%"
"*029us*","Christian Vazquez","MIN","C","653","HENRY","33","@KC Thu 1:10PM","15.00","2024","144","1.76","22%","560.9","22%"
"*01gya*","Aroldis Chapman","(N/A)","RP","654","FA","35","","11.00","2023","143.5","2.43","46%","407.81","51%"
"*051io*","Jake Alu","WSH","2B,3B,OF","655","FA","26","@CIN Thu 1:10PM","11.00","2023","143","2.2","9%","858.29","13%"
"*060mz*","Jose Cuas","CHC","RP","656","FA","29","@TEX Thu 4:35PM","11.00","2023","143","2.17","2%","971","5%"
"*041rj*","JoJo Romero","STL","RP","657","FA","27","@LAD Thu 1:10PM","11.00","2023","143","2.2","9%","840.02","15%"
"*060eu*","Ben Joyce","LAA","RP","658","FA","23","@BAL Thu 12:05PM","11.00","2023","142.5","2.97","21%","532.68","42%"
"*0312h*","Kyle Farmer","MIN","2B,3B,SS","659","FA","33","@KC Thu 1:10PM","11.00","2023","142","2.03","25%","526.26","22%"
"*01sjg*","Josh Donaldson","(N/A)","3B","660","FA","38","","11.00","2023","141.5","2.48","4%","957.83","7%"
"*04efs*","Nick Allen","OAK","SS","661","FA","25","CLE Thu 7:07PM","11.00","2023","141","1.76","7%","904.93","10%"
"*02ccf*","Tommy Kahnle","NYY","RP","662","FA","34","@HOU Thu 1:00AM","11.00","2023","141","3.13","7%","824.65","13%"
"*04ejp*","James Karinchak","CLE","RP","663","MURPH","28","@OAK Thu 7:07PM","17.00","2024","141","2.71","6%","921.69","21%"
"*041q4*","Kyle Muller","OAK","SP","664","NASER","26","CLE Thu 7:07PM","32.00","2026","141","3.2","0%","-","10%"
"*02j2u*","Tyler Naquin","(N/A)","OF","665","FA","32","","11.00","2023","141","1.86","0%","-","4%"
"*04pbq*","Geraldo Perdomo","ARI","2B,SS","666","FA","24","COL Thu 1:00AM","11.00","2023","141","2.07","94%","357.42","74%"
"*004e1*","Evan Longoria","(N/A)","3B","667","FA","38","","11.00","2023","140.5","2.23","0%","-","6%"
"*02jhl*","Rafael Montero","HOU","RP","668","FA","33","NYY Thu 1:00AM","11.00","2023","140.5","2.42","0%","-","13%"
"*04eiw*","Eli Morgan","CLE","RP","669","FA","27","@OAK Thu 7:07PM","11.00","2023","140.5","1.98","2%","1672.4","9%"
"*04pmk*","Michael Grove","LAD","SP","670","FA","27","STL Thu 1:10PM","11.00","2023","140","2.75","38%","484.97","30%"
"*03qu7*","Nick Madrigal","CHC","2B,3B","671","FA","26","@TEX Thu 4:35PM","11.00","2023","140","2.09","20%","619.74","23%"
"*03dg7*","Austin Slater","SF","OF","672","FA","31","@SD Thu 1:10PM","11.00","2023","140","2","1%","1760.14","6%"
"*03qkc*","Drew Smith","NYM","RP","673","FA","30","MIL Thu 10:10AM","11.00","2023","140","2.92","0%","-","5%"
"*03as0*","Joe Jimenez","ATL","RP","674","FA","28","@PHI Thu 12:05PM","11.00","2023","139","2.07","9%","804.9","12%"
"*05nso*","Abner Uribe","MIL","SP","675","FA","23","@NYM Thu 10:10AM","11.00","2023","139","2.4","21%","562.84","41%"
"*025jm*","Ji-Man Choi","(N/A)","1B","676","FA","32","","11.00","2023","138","2.23","0%","-","3%"
"*02bzn*","Colin Rea","MIL","RP","677","FA","33","@NYM Thu 10:10AM","11.00","2023","138","4.76","48%","512.94","30%"
"*05tux*","Dauri Moreta","PIT","RP","678","FA","27","@MIA Thu 1:10PM","11.00","2023","136.5","2.27","7%","839","11%"
"*02myt*","Steven Okert","MIA","RP","679","FA","32","PIT Thu 1:10PM","11.00","2023","136.5","2.58","0%","-","3%"
"*0321h*","Luis Garcia","LAA","RP","680","FA","36","@BAL Thu 12:05PM","11.00","2023","136","2.31","0%","-","4%"
"*04auk*","Seranthony Dominguez","PHI","RP","681","HENRY","29","ATL Thu 12:05PM","17.00","2024","135.5","2.61","17%","733.63","22%"
"*04eku*","John King","STL","RP","682","FA","29","@LAD Thu 1:10PM","11.00","2023","135.5","4.23","0%","-","3%"
"*04pma*","Daniel Lynch","KC","SP","683","LANG","27","MIN Thu 1:10PM","8.00","2024","135.5","2.42","22%","609.13","28%"
"*060ml*","Huascar Brazoban","MIA","RP","684","FA","34","PIT Thu 1:10PM","11.00","2023","135","2.5","0%","-","4%"
"*02mw1*","Chris Stratton","KC","RP","685","FA","33","MIN Thu 1:10PM","11.00","2023","135","2.18","1%","1661.07","6%"
"*02hhd*","Dylan Floro","WSH","RP","686","FA","33","@CIN Thu 1:10PM","11.00","2023","134.5","2.32","4%","957.12","10%"
"*03qjz*","Taylor Clarke","MIL","RP","687","FA","30","@NYM Thu 10:10AM","11.00","2023","134","2.85","0%","-","5%"
"*04llv*","Lenyn Sosa","CHW","2B,SS","688","FA","23","DET Thu 1:10PM","11.00","2023","134","1.97","0%","-","9%"
"*02c47*","Shawn Armstrong","TB","RP","689","FA","33","TOR Thu 1:10PM","11.00","2023","132.5","2.7","6%","849.07","10%"
"*0512c*","Alec Marsh","KC","SP","690","FA","25","MIN Thu 1:10PM","11.00","2023","132.5","2.37","23%","519.58","20%"
"*03qkh*","Paul DeJong","CHW","SS","691","FA","30","DET Thu 1:10PM","11.00","2023","132","1.94","14%","681.62","16%"
"*05r3g*","Mason Black","SF","SP","692","FA","24","@SD Thu 1:10PM","11.00","2023","131.5","10.96","17%","778.46","33%"
"*03qwa*","Phil Maton","(N/A)","RP","693","FA","30","","11.00","2023","131","2.15","0%","1696.2","6%"
"*01sve*","Joe Kelly","LAD","RP","694","FA","35","STL Thu 1:10PM","11.00","2023","130.5","2.84","2%","1035.61","7%"
"*0311w*","Ben Lively","CLE","RP","695","FA","31","@OAK Thu 7:07PM","11.00","2023","130.5","2.9","2%","946","7%"
"*05t9v*","Jonathan Aranda","TB","1B","696","FA","25","TOR Thu 1:10PM","11.00","2023","130","2.71","37%","480.52","37%"
"*02n6j*","Buck Farmer","CIN","RP","697","FA","32","WSH Thu 1:10PM","11.00","2023","130","1.73","0%","-","2%"
"*031fj*","Gabe Speier","SEA","RP","698","FA","28","BOS Thu 7:10PM","11.00","2023","129.5","2.09","2%","946.26","6%"
"*041vt*","Samad Taylor","KC","2B","699","FA","25","MIN Thu 1:10PM","11.00","2023","129.5","2.76","1%","1449.2","11%"
"*0429h*","Bryse Wilson","MIL","SP","700","FA","26","@NYM Thu 10:10AM","11.00","2023","129.5","3.32","12%","806.19","13%"
"*05u6r*","Robert Gasser","MIL","SP","701","FA","24","@NYM Thu 10:10AM","11.00","2023","129","10.75","85%","403.89","78%"
"*02hi4*","Adam Plutko","(N/A)","RP","702","FA","32","","11.00","2023","128.5","10.71","6%","906.06","3%"
"*02oyz*","Michael Tonkin","(N/A)","RP","703","FA","34","","11.00","2023","128.5","1.81","0%","-","1%"
"*042af*","Enmanuel Valdez","BOS","2B,3B","704","FA","25","@SEA Thu 7:10PM","11.00","2023","128.5","2.68","19%","655.69","21%"
"*03c7z*","Nick Gordon","MIN","2B,OF","705","HENRY","28","@KC Thu 1:10PM","18.00","2025","128","2.1","17%","723.87","19%"
"*03zcy*","Mark Vientos","NYM","3B","706","FA","24","MIL Thu 10:10AM","11.00","2023","127.5","1.99","71%","429.96","60%"
"*0414h*","Gabriel Arias","CLE","1B,3B,SS","707","FA","23","@OAK Thu 7:07PM","11.00","2023","127","1.9","28%","511.31","27%"
"*041vp*","Santiago Espinal","TOR","2B,3B","708","FA","29","@TB Thu 1:10PM","11.00","2023","127","1.92","7%","838","13%"
"*02xih*","Shintaro Fujinami","(N/A)","RP","709","ROLLS","29","","9.00","2025","127","1.72","16%","693.05","20%"
"*04eny*","Kyle Nelson","ARI","RP","710","FA","27","COL Thu 1:00AM","11.00","2023","126.5","2.22","1%","1685.6","7%"
"*02bq7*","Robert Stephenson","(N/A)","RP","711","FA","30","","11.00","2023","126.5","2.22","38%","409","41%"
"*041w4*","Bryan Baker","BAL","RP","712","FA","29","LAA Thu 12:05PM","11.00","2023","126","2.47","0%","-","7%"
"*03nqc*","Jose Suarez","LAA","SP","713","FA","25","@BAL Thu 12:05PM","11.00","2023","126","6.3","2%","880.65","12%"
"*05133*","Andre Pallante","STL","RP","714","FA","25","@LAD Thu 1:10PM","11.00","2023","125.5","1.9","3%","612.2","10%"
"*01t5w*","Miguel Rojas","LAD","SS","715","FA","34","STL Thu 1:10PM","11.00","2023","125.5","2.16","16%","695.61","17%"
"*05js6*","Ricky Tiedemann","TOR","SP","716","ALEC","21","@TB Thu 1:10PM","25.00","2029","125.5","12.55","97%","337.76","91%"
"*04yub*","Jordan Diaz","OAK","2B,3B","717","FA","23","CLE Thu 7:07PM","11.00","2023","125","1.89","17%","630.78","21%"
"*041m4*","Justin Dunn","(N/A)","SP","718","FA","28","","11.00","2023","124.5","10.38","0%","-","4%"
"*05uy1*","Justyn-Henry Malloy","DET","3B","719","FA","23","@CHW Thu 1:10PM","11.00","2023","124.5","2.59","33%","519.53","50%"
"*05gtn*","Tyler Soderstrom","OAK","C,1B","720","HENRY","22","CLE Thu 7:07PM","11.00","2025","124","1.94","41%","441.23","59%"
"*03dqv*","Tanner Banks","CHW","RP","721","FA","32","DET Thu 1:10PM","11.00","2023","123","1.95","0%","-","2%"
"*04g1x*","David Peterson","NYM","SP","722","CA$H","28","MIL Thu 10:10AM","16.00","2024","122","12.2","44%","463.39","31%"
"*04pzz*","Allan Winans","ATL","P","723","FA","28","@PHI Thu 12:05PM","11.00","2023","122","2.84","5%","887.26","14%"
"*04y76*","Jacob Webb","BAL","RP","724","FA","30","LAA Thu 12:05PM","11.00","2023","121.5","2.34","0%","-","4%"
"*03dbu*","Sam Hentges","CLE","RP","725","FA","27","@OAK Thu 7:07PM","11.00","2023","121","3.36","1%","1701.8","7%"
"*04pmm*","Nick Sandlin","CLE","RP","726","FA","26","@OAK Thu 7:07PM","11.00","2023","121","2.05","2%","934.5","7%"
"*04p9n*","Jared Walsh","LAA","1B","727","FA","30","@BAL Thu 12:05PM","11.00","2023","121","1.86","1%","1688.99","9%"
"*05ajh*","Garrett Crochet","CHW","RP","728","FA","24","DET Thu 1:10PM","11.00","2023","120.5","2.08","32%","513.73","37%"
"*04aec*","Alex Faedo","DET","SP","729","FA","28","@CHW Thu 1:10PM","11.00","2023","120.5","1.77","24%","609.45","23%"
"*059zc*","Dany Jimenez","OAK","RP","730","FA","30","CLE Thu 7:07PM","11.00","2023","120.5","2.74","19%","679.62","17%"
"*02zpf*","Edmundo Sosa","PHI","3B,SS","731","FA","27","ATL Thu 12:05PM","11.00","2023","120.5","1.94","2%","963","11%"
"*03xs3*","Miguel Amaya","CHC","C","732","FA","24","@TEX Thu 4:35PM","11.00","2023","120","1.88","26%","445.74","29%"
"*021jb*","Ryan Brasier","(N/A)","RP","733","FA","36","","11.00","2023","120","1.94","1%","1670.16","5%"
"*02hdy*","Pierce Johnson","ATL","RP","734","FA","32","@PHI Thu 12:05PM","11.00","2023","120","1.94","19%","679.15","22%"
"*02hy2*","Collin McHugh","(N/A)","RP","735","FA","36","","11.00","2023","120","3.24","0%","-","5%"
"*03ysp*","Jay Groome","SD","SP","736","FA","25","SF Thu 1:10PM","11.00","2023","119.5","9.96","1%","1749.2","13%"
"*0514i*","Andrew Saalfrank","ARI","P","737","FA","26","COL Thu 1:00AM","11.00","2023","119.5","2.3","0%","-","4%"
"*041pp*","Daulton Jefferies","SF","SP","738","FA","28","@SD Thu 1:10PM","11.00","2023","119","11.9","0%","1325.2","4%"
"*04eos*","Joey Cantillo","CLE","SP","739","FA","24","@OAK Thu 7:07PM","11.00","2023","118.5","11.85","11%","807.76","27%"
"*05ras*","Colton Cowser","BAL","OF","740","HENRY","23","LAA Thu 12:05PM","11.00","2025","118.5","2.58","68%","445.7","76%"
"*03zo6*","Cionel Perez","BAL","RP","741","FA","27","LAA Thu 12:05PM","11.00","2023","118","2.03","6%","876.09","11%"
"*03cav*","Brent Suter","(N/A)","RP","742","FA","34","","11.00","2023","118","2.31","0%","-","5%"
"*041qz*","Mason Thompson","WSH","RP","743","FA","25","@CIN Thu 1:10PM","11.00","2023","118","2.15","0%","-","3%"
"*0511v*","Matt Canterino","MIN","SP","744","FA","26","@KC Thu 1:10PM","11.00","2023","117.5","11.75","1%","1816.2","13%"
"*066st*","Jose Hernandez","PIT","RP","745","FA","25","@MIA Thu 1:10PM","11.00","2023","117.5","2.22","0%","-","3%"
"*0311r*","Sam Moll","CIN","RP","746","FA","31","WSH Thu 1:10PM","11.00","2023","117.5","2.55","0%","-","6%"
"*05gef*","Cade Cavalli","WSH","SP","747","JOHN","25","@CIN Thu 1:10PM","14.00","2026","117","9.75","22%","688.56","45%"
"*041t8*","Andrew Knizner","(N/A)","C","748","FA","28","","11.00","2023","117","1.95","19%","634.59","14%"
"*04nky*","Trevor Larnach","MIN","OF","749","FA","26","@KC Thu 1:10PM","11.00","2023","117","2.29","3%","902.66","15%"
"*04erc*","Ron Marinaccio","NYY","RP","750","FA","28","@HOU Thu 1:00AM","11.00","2023","117","2.29","0%","-","8%"
"*03pol*","Jake Woodford","STL","RP","751","FA","27","@LAD Thu 1:10PM","11.00","2023","117","3.66","0%","-","5%"
"*05jr0*","Alec Burleson","STL","OF","752","FA","25","@LAD Thu 1:10PM","11.00","2023","116.5","2.01","27%","507.09","27%"
"*04pps*","Hogan Harris","OAK","SP","753","FA","27","CLE Thu 7:07PM","11.00","2023","116.5","3.07","0%","-","6%"
"*04ni3*","Luis Garcia","HOU","SP","754","TED","27","NYY Thu 1:00AM","26.00","2025","116","14.5","20%","647.34","46%"
"*02bru*","Jordan Weems","WSH","RP","755","FA","31","@CIN Thu 1:10PM","11.00","2023","116","2.52","0%","-","2%"
"*03aqw*","Mauricio Dubon","HOU","2B,OF","756","FA","29","NYY Thu 1:00AM","11.00","2023","115.5","2.18","63%","410.47","46%"
"*02bx6*","Derek Law","(N/A)","RP","757","FA","33","","11.00","2023","115.5","3.4","0%","-","2%"
"*04elu*","Tom Cosgrove","SD","P","758","FA","27","SF Thu 1:10PM","11.00","2023","115","2.17","1%","1709.4","5%"
"*041pr*","Joey Wentz","DET","SP","759","FA","26","@CHW Thu 1:10PM","11.00","2023","115","1.49","0%","-","9%"
"*04pmp*","Simeon Woods-Richardson","MIN","SP","760","FA","23","@KC Thu 1:10PM","11.00","2023","115","11.5","0%","-","17%"
"*04efe*","Mike Baumann","BAL","RP","761","FA","28","LAA Thu 12:05PM","11.00","2023","114.5","4.58","0%","-","8%"
