"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros"
"*01svq*","Manny Machado","SD","3B","46","LANG","31","SF Thu 1:10PM","32.00","2026","481.5","3.25","100%","58.96","96%"
"*050w9*","Gunnar Henderson","BAL","3B,SS","47","HENRY","22","LAA Thu 12:05PM","14.00","2026","477.5","3.2","100%","37.48","96%"
"*0326s*","Ketel Marte","ARI","2B","48","JENKS","30","COL Thu 1:00AM","30.00","2027","477.5","3.14","100%","97.57","96%"
"*041r1*","Jesus Luzardo","MIA","SP","49","LANG","26","PIT Thu 1:10PM","18.00","2025","475.5","14.86","100%","68.55","96%"
"*03df2*","Dylan Cease","CHW","SP","50","MURPH","28","DET Thu 1:10PM","37.00","2026","475","14.84","100%","74.44","96%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","51","MDS","25","STL Thu 1:10PM","11.00","2025","473","16.89","99%","61.36","85%"
"*04pkr*","Nico Hoerner","CHC","2B,SS","52","JOEY","26","@TEX Thu 4:35PM","30.00","2027","471","3.1","100%","70.17","96%"
"*03dc4*","Freddy Peralta","MIL","SP","53","NASER","27","@NYM Thu 10:10AM","28.00","2024","471","15.7","100%","52.22","96%"
"*01ual*","Paul Goldschmidt","STL","1B","54","TONY","36","@LAD Thu 1:10PM","19.00","2024","469","3.07","100%","65.31","96%"
"*02c2h*","Chris Bassitt","TOR","SP","55","JENKS","34","@TB Thu 1:10PM","24.00","2026","466","14.56","100%","86.17","96%"
"*04pko*","Grayson Rodriguez","BAL","SP","56","NASER","24","LAA Thu 12:05PM","34.00","2026","465","15.5","100%","71.84","96%"
"*04aq4*","Adolis Garcia","TEX","OF","57","CA$H","30","CHC Thu 4:35PM","24.00","2026","464","3.07","100%","37.24","96%"
"*0260v*","Sonny Gray","STL","SP","58","FA","34","@LAD Thu 1:10PM","11.00","2023","463.5","15.45","100%","91.89","95%"
"*03dbo*","Jordan Montgomery","(N/A)","SP","59","MURPH","31","","41.00","2027","463.5","14.48","100%","115.16","95%"
"*02mw3*","Christian Walker","ARI","1B","60","TONY","32","COL Thu 1:00AM","41.00","2027","462.5","2.96","100%","78.41","96%"
"*02hj7*","Merrill Kelly","ARI","SP","61","KYLE","35","COL Thu 1:00AM","24.00","2026","461.5","14.89","100%","117.49","95%"
"*040b5*","Randy Arozarena","TB","OF","62","TED","28","TOR Thu 1:10PM","24.00","2024","461","3.09","100%","43.32","96%"
"*0316j*","Nick Pivetta","BOS","SP","63","KYLE","30","@SEA Thu 7:10PM","18.00","2025","458.5","15.28","99%","186.81","91%"
"*03e5m*","Bryan Reynolds","PIT","OF","64","JOEY","28","@MIA Thu 1:10PM","36.00","2027","458","3.09","100%","77.76","96%"
"*02mwk*","Jose Berrios","TOR","SP","65","JENKS","29","@TB Thu 1:10PM","14.00","2024","455","14.22","100%","121.3","96%"
"*02mwq*","Zach Eflin","TB","SP","66","TED","29","TOR Thu 1:10PM","36.00","2027","455","15.69","100%","79.3","96%"
"*02i37*","Lucas Giolito","(N/A)","SP","67","MDS","29","","28.00","2024","454","14.19","100%","159.3","95%"
"*04pr1*","Steven Kwan","CLE","OF","68","FA","26","@OAK Thu 7:07PM","11.00","2023","454","2.95","100%","160.53","95%"
"*04ps7*","Joe Ryan","MIN","SP","69","HENRY","27","@KC Thu 1:10PM","18.00","2025","452.5","15.6","100%","75.59","96%"
